Student_ID,Age,Gender,CGPA,Attendance,Programming,Data_Structures,Algorithms,DBMS,Operating_Systems,Computer_Networks,OOP,Python,Java,SQL,Web_Development,Git_GitHub,Cloud_Computing,AI_ML,Communication,Problem_Solving,Teamwork,Internship,Projects,Certifications,Aptitude,Average_Skill,Industry_Requirement,Skill_Gap,Employability
1001,23,1,8.14,84,41,47,49,92,47,92,86,97,66,95,74,38,93,86,45,49,85,0,2,2,98,69.53,89,19.47,0
1002,24,1,8.85,95,88,52,73,84,93,69,54,85,84,97,44,97,85,48,95,63,63,0,4,5,58,74.94,87,12.06,1
1003,22,1,7.44,86,52,47,55,51,91,74,43,52,62,100,48,75,70,94,81,57,73,1,5,2,100,66.18,86,19.82,1
1004,24,0,6.07,97,43,96,87,100,59,74,68,66,85,85,68,96,61,32,68,88,85,0,3,0,99,74.18,75,0.82,1
1005,24,1,6.78,66,65,62,90,87,71,88,98,75,47,83,45,55,44,71,54,57,61,0,2,4,72,67.82,77,9.18,0
1006,21,0,7.13,64,64,82,100,72,89,78,48,46,47,43,64,37,91,50,68,46,50,1,2,3,43,63.24,80,16.76,0
1007,22,0,8.41,90,69,40,78,84,53,66,66,61,98,68,70,35,56,69,43,43,87,1,3,2,81,63.88,82,18.12,1
1008,22,0,8.07,82,50,84,61,65,89,65,65,49,65,62,61,53,57,96,57,65,47,0,2,0,42,64.18,78,13.82,0
1009,22,0,7.1,69,46,90,51,78,67,53,58,78,86,45,41,77,93,54,89,44,78,1,3,3,66,66.35,79,12.65,1
1010,24,1,9.94,91,70,63,63,67,85,56,95,92,98,71,84,74,88,84,96,99,82,1,1,4,91,80.41,83,2.59,1
1011,23,1,8.23,89,83,74,86,97,91,57,67,54,52,81,44,42,87,81,88,94,74,0,4,5,80,73.65,80,6.35,1
1012,22,0,6.57,98,49,63,79,44,92,84,56,54,78,57,99,98,31,73,83,55,88,0,4,2,74,69.59,86,16.41,0
1013,24,0,5.96,90,78,56,77,47,63,91,82,43,76,54,66,54,65,85,78,74,85,1,5,5,67,69.06,81,11.94,1
1014,21,0,6.19,77,52,44,99,64,54,68,96,71,88,79,64,49,100,84,55,65,77,0,2,0,45,71.12,81,9.88,0
1015,23,1,6.61,95,70,59,98,66,61,59,80,62,67,97,47,95,42,99,50,57,47,1,5,5,45,68.0,78,10.0,0
1016,21,0,6.22,61,46,60,49,85,69,92,81,94,64,71,94,74,44,95,53,68,93,1,1,5,94,72.47,78,5.53,1
1017,23,0,6.34,73,95,79,74,62,43,66,89,45,100,48,40,76,89,48,42,62,76,0,4,0,96,66.71,78,11.29,0
1018,24,1,6.78,72,88,97,90,69,52,57,59,63,55,76,59,92,51,36,90,92,66,0,1,0,83,70.12,88,17.88,0
1019,20,1,6.28,88,81,70,88,84,98,43,84,59,94,49,83,84,92,92,89,53,67,1,1,2,62,77.06,89,11.94,1
1020,23,0,9.54,71,100,85,71,86,62,40,79,97,41,59,62,48,54,71,81,54,79,1,2,5,72,68.76,85,16.24,1
1021,21,1,5.86,98,81,75,46,62,47,89,78,76,93,45,71,64,77,71,77,88,73,1,1,3,55,71.35,79,7.65,1
1022,24,1,7.86,61,95,50,60,88,57,40,88,59,57,87,50,82,72,88,84,72,71,1,4,0,63,70.59,79,8.41,1
1023,23,0,7.35,91,75,91,59,86,51,97,92,51,56,95,78,55,67,49,81,64,54,0,5,4,44,70.65,82,11.35,1
1024,20,1,9.92,72,59,54,65,59,94,65,62,72,69,98,86,43,70,46,57,60,83,1,4,5,80,67.18,83,15.82,1
1025,20,0,6.0,86,43,58,43,57,70,84,86,67,78,42,93,74,74,56,97,56,56,1,2,0,81,66.71,76,9.29,0
